Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
woodFrameBlockVariantHelperExtended,blocks,Variant,,,Extended Wood Frame Block,,Holzrahmenblock 2,Bloque de estructura de madera 2,Bloc avec structure en bois 2,Blocco del telaio di legno 2,木材フレームブロック,목재 프레임 블록,"Drewno — rama, blok 2",Bloco de Estrutura de Madeira 2,Блок из деревянного каркаса 2,Tahta İskelet Bloku 2,木架块,木框塊,Bloque de estructura de madera 2
rebarFrameBlockVariantHelperExtended,blocks,Variant,,,Extended Rebar Frame Block,,Stahlgerüstblock 2,Bloque de estructura de barras de refuerzo 2,Bloc avec structure en fer à béton 2,Blocco della struttura di tondini 2,鉄筋フレームブロック,철근 프레임 블록,"Pręt zbrojeniowy — rama, blok 2",Boco de Estrutura de Vergalhão 2,Блок из арматурного каркаса 2,Betonarme İskelet Blok 2,钢筋架块,鋼筋框架塊,Bloque de estructura de barras de refuerzo 2
flagstoneBlockVariantHelperExtended,blocks,Variant,,,Extended Flagstone Block,,Steinplattenblock 2,Bloque de baldosas 2,Bloc de dalle 2,Blocco di lastricato 2,敷石ブロック,판석 블록,Kamienna płyta — blok 2,Bloco de laje 2,Блок из плитняка 2,Yassı Taş Bloku 2,石板块,扁石砌塊,Bloque de baldosas 2
scrapIronFrameBlockVariantHelperExtended,blocks,Variant,,,Extended Iron Frame Block,,Eisenrahmenblock 2,Bloque de estructura de hierro 2,Bloc avec structure en fer 2,Blocco del telaio di ferro 2,鉄フレームブロック,철제 프레임 블록,"Żelazo — rama, blok 2",Boco de Estrutura de Ferro 2,Блок из железного каркаса,Demir İskelet Blok 2,铁架块,鐵架塊,Bloque de estructura de hierro 2
pouredConcreteBlockVariantHelperExtended,blocks,Variant,,,Extended Wet Concrete Block,,Feuchter Betonblock 2,Bloque de hormigón fresco 2,Bloc de béton mouillé 2,Blocco di calcestruzzo lucido 2,生コンブロック,비경화 콘크리트 블록,Mokry beton — blok 2,Bloco de concreto fresco 2,Блок из мокрого бетона 2,Islak Beton Blok 2,湿混凝土块,濕態混凝土塊,Bloque de hormigón fresco 2
cobblestone2PlateCorner,blocks,Block,,,Cobblestone Two-Plate Corner,,,,,,,,,,,,,,
cobblestone2PlateCornerHalf,blocks,Block,,,Cobblestone Two-Plate Corner Half,,,,,,,,,,,,,,
cobblestoneArch3m,blocks,Block,,,Cobblestone Wide Arch,,,,,,,,,,,,,,
cobblestoneArch3m_center,blocks,Block,,,Cobblestone Wide Arch Centre,,,,,,,,,,,,,,
cobblestoneArch3m_tip,blocks,Block,,,Cobblestone Wide Arch Tip,,,,,,,,,,,,,,
cobblestoneArchCurveBase,blocks,Block,,,Cobblestone Arch Curve Base,,,,,,,,,,,,,,
cobblestoneArchCurveFiller,blocks,Block,,,Cobblestone Arch Curve Filler,,,,,,,,,,,,,,
cobblestoneArchCurveMiddle,blocks,Block,,,Cobblestone Arch Curve Middle,,,,,,,,,,,,,,
cobblestoneArchCurveTop,blocks,Block,,,Cobblestone Arch Curve Top,,,,,,,,,,,,,,
cobblestoneArchCurveTopMiddle,blocks,Block,,,Cobblestone Arch Curve Top Middle,,,,,,,,,,,,,,
cobblestoneArchCurveTopMiddleTopper,blocks,Block,,,Cobblestone Arch Curve Top Middle Topper,,,,,,,,,,,,,,
cobblestoneArchCurveWall,blocks,Block,,,Cobblestone Arch Curve Wall,,,,,,,,,,,,,,
cobblestoneArchCurveWallCap,blocks,Block,,,Cobblestone Arch Curve Wall Cap,,,,,,,,,,,,,,
cobblestoneArrowBlock,blocks,Block,,,Cobblestone Arrow Block,,,,,,,,,,,,,,
cobblestoneArrowSlit,blocks,Block,,,Cobblestone Arrow Slit,,,,,,,,,,,,,,
cobblestoneCNRRound,blocks,Block,,,Cobblestone Corner Round,,,,,,,,,,,,,,
cobblestoneCNRRoundTop,blocks,Block,,,Cobblestone Corner Round Top,,,,,,,,,,,,,,
cobblestoneCone1m,blocks,Block,,,Cobblestone Cone 1m,,,,,,,,,,,,,,
