Key,File,Type,UsedInMainMenu,NoTranslate,english
challenge_ODtest1,quests,quest,,,Outback Decay - Shotgun Specialist 1
challenge_ODtest1_desc,quests,quest,,,Find yourself a boomstick and break it in.
challenge_ODtest1_subtitle,quests,quest,,,Blunderbuss 101
challenge_ODtest1_offer,quests,quest,,,OD Challenge Test 1 Offer
challenge_ODtest2,quests,quest,,,Outback Decay - Shotgun Specialist 2
challenge_ODtest2_desc,quests,quest,,,"Now you're warming up! It's slow, but it does the job. How many can you kill before the reload kills you?"
challenge_ODtest2_subtitle,quests,quest,,,Advanced Blunderbuss Techniques
challenge_ODtest2_offer,quests,quest,,,OD Challenge Test 2 Offer
challenge_ODtest3,quests,quest,,,Outback Decay - Shotgun Specialist 3
challenge_ODtest3_desc,quests,quest,,,"Enjoy the gift. You should be at least twice as deadly now."
challenge_ODtest3_subtitle,quests,quest,,,My First Shotty
challenge_ODtest3_offer,quests,quest,,,OD Challenge Test 3 Offer
challenge_ODtest4,quests,quest,,,Outback Decay - Shotgun Specialist 4
challenge_ODtest4_desc,quests,quest,,,"The bad news is, that thing has a short range. The good news is, the birds will come to you."
challenge_ODtest4_subtitle,quests,quest,,,The Birds
challenge_ODtest4_offer,quests,quest,,,OD Challenge Test 4 Offer
challenge_ODtest5,quests,quest,,,Outback Decay - Shotgun Specialist 5
challenge_ODtest5_desc,quests,quest,,,"I hope you've found a better shotgun by now. If not, I see a lot of reloading in your future."
challenge_ODtest5_subtitle,quests,quest,,,Gimme fifty.
challenge_ODtest5_offer,quests,quest,,,OD Challenge Test 5 Offer
challenge_ODtest6,quests,quest,,,Outback Decay - Shotgun Specialist 6
challenge_ODtest6_desc,quests,quest,,,"I've written you a shopping list. Time to go hunting"
challenge_ODtest6_subtitle,quests,quest,,,Head hunting
challenge_ODtest6_offer,quests,quest,,,OD Challenge Test 6 Offer
challenge_ODtest7,quests,quest,,,Outback Decay - Shotgun Specialist 7
challenge_ODtest7_desc,quests,quest,,,"It's time to travel. On your way, rack up some more notches."
challenge_ODtest7_subtitle,quests,quest,,,Big Game
challenge_ODtest7_offer,quests,quest,,,OD Challenge Test 7 Offer
challenge_ODtest8,quests,quest,,,Outback Decay - Shotgun Specialist 8
challenge_ODtest8_desc,quests,quest,,,"You're nearly there. Raise your body count by another century and we're done."
challenge_ODtest8_subtitle,quests,quest,,,The 100
challenge_ODtest8_offer,quests,quest,,,OD Challenge Test 8 Offer
