Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkMasterChefRank3LongDesc,progression,perk Str,,,"Learn how to make nutritious pot luck meals from canned goods. Craft Sham Chowder, Hobo Stew, Chili dogs and Fish Tacos. Wash them down with Yucca Juice Smoothies and Beer. Cook 30% faster.",,"Lerne, wie man aus Dosenfutter nahrhafte Gerichte zaubert. Fertige Sham-Suppe, Penner-Eintopf, Chili-Hotdogs und Fisch-Tacos. Spüle deine Kreationen mit Yucca-Saft-Smoothies und Bier hinunter. Koche 30 % schneller.","Aprende a hacer comidas nutritivas a partir de productos enlatados. Sopa de pescado artesanal, estofado de vagabundos, perritos calientes con chile y tacos de pescado. Báñalas con batidos de yuca y cerveza. Cocina un 30 % más rápido.","Apprenez à cuisiner des repas nourrissants sur le pouce à partir de boîtes de conserve. Vous pouvez préparer de la soupe épaisse de jambon en conserve, du ragoût de vagabond, des hot dogs, et des tacos au poisson. Faites passer tout cela avec du jus de yucca et de la bière. Vous cuisinez 30 % plus vite.","Impara a creare pasti veloci e nutrienti con il cibo in scatola. Crea zuppa alla sham, stufato mulligan, hot dog piccante e tacos di pesce. Accompagnali con del frullato di succo di yucca e della birra. Cucina il 30% più velocemente.",缶詰めの食材から栄養価の高いあり合わせの食事を作れるようになりましょう。シャムチャウダー、ホボシチュー、フィッシュタコスをクラフトする。ユッカジューススムージーとビールで洗い流しましょう。+30%料理速度。,"통조림으로 영양가 있는 포트럭 식사를 만드는 방법을 배웁니다. 샴 차우더, 떠돌이 스튜, 칠리 독과 생선 타코를 제작합니다. 실난초즙 스무디와 맥주로 씻어내립니다. 30% 빠른 속도로 요리합니다.","Dowiedz się, jak robić pożywne posiłki zrzutkowe z żywności w puszkach. Wytwarzaj chowder z nięsa, potrawkę żula, chili dogi i taco z rybą, a to wszystko popijaj smoothie z soku z jukki i piwem. Gotuj o 30% szybciej.","Aprenda a fazer refeições nutritivas com produtos enlatados. Pode fazer ensopados falsos, guisados de mendigo, salsicha de chili e tacos de peixe. Para ajudar a comida a descer, prepare vitaminas de sumo de yucca e cerveja. Cozinha 30% mais rápido.","Научитесь готовить питательную еду из консервов. Готовьте похлебку из «Срама», рагу бродяги, чили-доги и рыбные тако. Запивайте всё это смузи из сока юкки и пивом. Готовьте на 30% быстрее.","Konserve ürünlerden besleyici rastgele yemekler çıkarmayı öğren. Sham Balık Çorbası, Hobo Yahnisi, Acılı Sosisli ve Balık Tako üret. Yanında Avize Ağacı İçeceği ve bira götür. %30 daha hızlı pişir.",学习如何用罐头食品制作营养丰富的家常便饭。能制作海鲜杂烩、炖肉、辣酱热狗和墨西哥鱼肉卷。用丝兰果汁冰沙和啤酒一饮而下。烹饪速度加快30%。,學習如何使用罐頭食品製作營養的家常便飯。製作假雜燴、流浪漢特供燉菜、辣味熱狗和魚肉玉米卷。用絲蘭果果汁沙冰和啤酒把它們送下去。做飯加快 30%。,"Aprende a hacer comidas nutritivas a partir de productos enlatados. Sopa de pescado artesanal, estofado de vagabundos, perritos calientes con chile y tacos de pescado. Báñalas con batidos de yuca y cerveza. Cocina un 30 % más rápido."
foodChiliDog,items,Food,,,Bunnings Snag,,Chili-Hotdog,Perrito de chile,Hot dog au chili,Hot dog piccante,チリドッグ,칠리 핫도그,Chili dog,Salsicha de chili,Чили-дог,Acılı Sosisli,辣狗,辣味熱狗,Perrito de chile
foodChiliDogDesc,items,Food,,,Gotta love a snag in bread. Don't slip on the onions!,,Lecker!,¡Delicioso!,Délicieux !,Gustoso!,美味しい！,맛있어요!,Pychota!,Delícia!,Вкусно!,Leziz mi leziz!,好吃！,太美味了！,¡Delicioso!
foodChiliDogSchematic,items,Food,,,Bunnings Snag Recipe,,Rezept – Chili-Hotdog,Receta de perrito de chile,Composition de hot dog au chili,Ricetta dell'hot dog piccante,チリドッグレシピ,칠리 핫도그 레시피,Przepis na chili doga,Receita de salsicha de chili,Рецепт чили-дога,Acılı Sosisli Tarifi,辣狗配方,辣味熱狗配方,Receta de perrito de chile
drinkJarBeer,items,Food,,,Victoria Bitter,,Bier,Cerveza,Bière,Birra,ビール,맥주,Piwo,Cerveja,Пиво,Bira,啤酒,啤酒,Cerveza
drinkJarBeerDesc,items,Food,,,"A hard earned thirst needs a big cold beer, but unfortunately the only available beer is Vic, Victoria Bitter.\n\n300% Fist Melee Damage\n50% Stamina Gain\nGain stamina, bravado and stun immunity all in one bottle.",,"300 % Faust-Nahkampfschaden\n50 % mehr Ausdauer\n\nErhalte Ausdauer, Wagemut und Betäubungs-Immunität in nur einer Flasche dieses leckeren selbstgebrauten Biers. Das gleiche Bier, das Opa früher immer braute.","300 % de daño cuerpo a cuerpo.\n50 % de aumento de resistencia.\n\nObtén resistencia, valentía e inmunidad al aturdimiento de una sola vez con esta deliciosa botella de cerveza casera. Tal y como el abuelo solía hacerla.","300 % de dégâts de mêlée à mains nues\n50 % de gain en endurance\n\nBoire une bouteille de cette délicieuse bière artisanale vous offre endurance, bravoure et immunité contre l'étourdissement. Exactement comme celle que faisait papy.","300% danni da mischia con pugni\n50% guadagno vigore\n\nGuadagna vigore, spavalderia e immunità a stordimento: tutto con una sola bottiglia di gustosa birra fatta in casa. Proprio come quella che faceva il nonno.",徒手空拳ダメージ300%アップ\nスタミナ上昇50%アップ\n\nスタミナ上昇、虚勢、気絶耐性を一本のボトルに詰め込んだ美味しい自家製ビール。懐かしいおじいちゃんの味。,"주먹 근접 대미지 300%\n스태미너 증가 50%\n\n이 수제 맥주를 한 병만 마셔도 스태미너가 증가하고, 허세가 늘고, 기절에 면역이 되는 효과를 누릴 수 있습니다. 할아버지께서 이런 맥주를 만드셨는데 말이죠.","Wzrost obrażeń podczas walki bez broni o 300%\nWzrost wytrzymałości o 50%\n\nAby zwiększyć wytrzymałość, brawurę i zabezpieczyć się przed ogłuszeniem, wystarczy jedna butelka pysznego domowego piwa. Dokładnie takie warzył dziadek.","Dano corpo a corpo de punho com + 300%\nGanho de vigor com + 50%.\n\nGanhe vigor, intimidação e imunidade a atordoamento, tudo isso em uma jarra desta cerveja artesanal deliciosa. Igualzinho a do vovô.","300% урона в рукопашном бою\nна 50% больше выносливости\n\nВыносливость, храбрость и устойчивость к оглушению – всё в одной бутылке вкусного домашнего свежесваренного пива. Прямо как у дедушки.","%300 Yumrukla Yakın Dövüş Hasarı\n%50 Dayanıklılık Kazancı\n\nEv yapımı bu leziz biranın bir şişesiyle dayanıklılık, kabadayılık ve sersemletmeye karşı bağışıklık kazanabilirsin. Aynı dedemin yaptığı gibi.",首次近战伤害300%\n获得体力50%\n\n一瓶好喝的家酿啤酒下肚，即可获得体力、虚张声势和眩晕免疫。尝起来有祖父的味道。,300% 的拳打近戰傷害\n耐力增加 50% \n\n喝下這瓶美味的家釀啤酒可獲得耐力並對敵人的虛張聲勢和眩暈免疫。就像爺爺過去釀的酒一樣。,"300 % de daño cuerpo a cuerpo.\n50 % de aumento de resistencia.\n\nObtén resistencia, valentía e inmunidad al aturdimiento de una sola vez con esta deliciosa botella de cerveza casera. Tal y como el abuelo solía hacerla."
drinkJarBeerSchematic,items,Food,,,Victoria Bitter Recipe,,Rezept – Bier,Receta de cerveza,Composition de bière,Ricetta della birra,ビールレシピ,맥주 레시피,Przepis na piwo,Receita de Cerveja,Рецепт пива,Bira Tarifi,啤酒配方,啤酒配方,Receta de cerveza
drinkJarPureMineralWater,items,Food,,,Mount Franklin,,Reines Mineralwasser,Agua mineral pura,Eau minérale pure,Acqua minerale pura,ピュアミネラルウォーター,깨끗한 생수,Czysta woda mineralna,Água mineral pura,Чистая минеральная вода,Saf Maden Suyu,纯净矿泉水,純礦泉水,Agua mineral pura
drinkJarPureMineralWaterDesc,items,Food,,,Pure Mount Franklin mineral water is good for your digestion and hydrates you for days!\nExertion will not make you hungry and thirsty as quickly.,,Reines Mineralwasser ist gut für deine Verdauung und hydriert dich für Tage!\nAnstrengung macht dich nicht so schnell hungrig und durstig.,¡El agua mineral pura te viene bien para la digestión y te hidrata durante días!\nEl sobreesfuerzo no te aumentará el hambre y la sed tan rápido.,L'eau minérale pure est bonne pour la digestion et vous hydratera pendant des jours !\nL'effort physique ne vous donnera pas faim ou soif aussi vite.,"L'acqua minerale pura fa bene alla digestione e idrata per giorni!\nAnche sotto sforzo, non avrai fame e sete tanto presto.",ピュアミネラルウォーターは消化を助け、数日間水分補給が不要になります！\n運動してもそれほど早く空腹や喉の渇きを感じることがなくなります。,깨끗한 생수는 소화에 도움을 주고 며칠 동안이나 수분을 공급해줍니다!\n격렬한 활동 시 평소와 같은 빠른 속도로 배가 고파지거나 갈증을 느끼지 않습니다.,Czysta woda mineralna sprzyja trawieniu i nawadnia na całe dnie!\nW przypadku wysiłków później odczujesz głód i pragnienie.,A água mineral pura é ótima para a digestão e te hidrata por dias.\nO esforço não deixará você com fome e com sede tão rapidamente.,Чистая минеральная вода полезна для пищеварения и позволяет утолить жажду на долгое время!\nФизические нагрузки медленнее вызывают голод и жажду.,Saf maden suyu hazmı kolaylaştırır ve seni günlerce susuzluktan kurtarır!\nÇabaların sonucunda eskisi kadar acıkmazsın ve susamazsın.,纯净的矿泉水对你的消化有益，并能为你补充几天水分！\n运动时不会那么快感到饥饿和口渴。,純淨的礦泉水有益於消化，並為你下持續多日補充水分！\n消耗體力也不會讓你輕易感到飢餓和口渴。,¡El agua mineral pura te viene bien para la digestión y te hidrata durante días!\nEl sobreesfuerzo no te aumentará el hambre y la sed tan rápido.
vehicle4x4TruckAccessories,vehicles,item,,,4x4 Great Wall Truck Accessories,,4x4-Truck-Zubehör,Accesorios para camiones 4x4,Accessoires de 4x4,Accessori del fuoristrada 4x4,4x4駆動トラック付属品,4x4 트럭 부속품,Samochód terenowy 4x4 — akcesoria,Acessórios do caminhão 4x4,Запчасти грузовика 4х4,4x4 Kamyonet Aksesuarları,4x4 卡车附件,4x4 卡車配件,Accesorios para camiones 4x4
